j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
 2.240; -0.032; -0.620;  1.000;  0.784; -0.032; -0.127;  0.167;  0.450;  0.893
 2.484; -0.094; -0.792;  0.996;  0.611; -0.094; -0.160;  0.136;  0.367;  0.930
 2.724; -0.150; -0.914;  0.989;  0.405; -0.150; -0.184;  0.100;  0.280;  0.960
 2.903; -0.214; -0.972;  0.977;  0.237; -0.213; -0.196;  0.072;  0.225;  0.974
 3.074; -0.306; -0.998;  0.953;  0.067; -0.302; -0.202;  0.047;  0.186;  0.983
 3.209; -0.412; -0.998;  0.916; -0.067; -0.400; -0.204;  0.029;  0.168;  0.986
 3.205; -0.529; -0.998;  0.863; -0.063; -0.505; -0.198;  0.043;  0.230;  0.973
 3.179; -0.614; -0.999;  0.818; -0.037; -0.576; -0.192;  0.056;  0.284;  0.959
 3.128; -0.651; -1.000;  0.795;  0.014; -0.606; -0.187;  0.069;  0.326;  0.945
 3.038; -0.677; -0.995;  0.779;  0.103; -0.626; -0.178;  0.088;  0.380;  0.925
 2.975; -0.685; -0.986;  0.775;  0.165; -0.632; -0.171;  0.099;  0.413;  0.911
 2.965; -0.636; -0.985;  0.804;  0.175; -0.594; -0.174;  0.097;  0.395;  0.919
 2.988; -0.527; -0.988;  0.864;  0.153; -0.503; -0.184;  0.084;  0.333;  0.943
 2.997; -0.381; -0.989;  0.928;  0.145; -0.371; -0.194;  0.070;  0.260;  0.966
 2.982; -0.222; -0.987;  0.976;  0.159; -0.220; -0.201;  0.057;  0.190;  0.982
 2.961; -0.052; -0.984;  0.999;  0.180; -0.052; -0.205;  0.043;  0.116;  0.993
 2.911;  0.087; -0.973;  0.996;  0.229;  0.087; -0.206;  0.039;  0.072;  0.997
 2.846;  0.182; -0.957;  0.984;  0.291;  0.181; -0.205;  0.042;  0.057;  0.998
 2.792;  0.266; -0.940;  0.965;  0.342;  0.263; -0.204;  0.043;  0.042;  0.999
 2.774;  0.338; -0.933;  0.944;  0.359;  0.331; -0.203;  0.039;  0.015;  1.000
 2.782;  0.428; -0.936;  0.910;  0.352;  0.415; -0.203;  0.028; -0.034;  0.999
